date,model,alpha,return,sigma2,VaR,ES
2009-05-12,GJR-GARCH,0.025,-0.2963578750162108,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-13,GJR-GARCH,0.025,-2.5495407063288846,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-14,GJR-GARCH,0.025,0.8533648513944746,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-15,GJR-GARCH,0.025,-0.819542449132723,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-18,GJR-GARCH,0.025,2.8011214941717695,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-19,GJR-GARCH,0.025,-0.12064778723626043,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-20,GJR-GARCH,0.025,-0.6716983840170287,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-21,GJR-GARCH,0.025,-1.446723477814465,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-22,GJR-GARCH,0.025,-0.2132104785256413,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-26,GJR-GARCH,0.025,2.5289795148701324,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-27,GJR-GARCH,0.025,-1.8014576482497175,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-28,GJR-GARCH,0.025,1.3843734301126625,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-05-29,GJR-GARCH,0.025,1.7552924223269621,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-01,GJR-GARCH,0.025,2.391996499177469,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-02,GJR-GARCH,0.025,0.08438122335373766,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-03,GJR-GARCH,0.025,-1.2732235110220134,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-04,GJR-GARCH,0.025,0.9352786340380315,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-05,GJR-GARCH,0.025,0.02115958572229988,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-08,GJR-GARCH,0.025,-0.41333255366907495,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-09,GJR-GARCH,0.025,0.5084711376508008,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-10,GJR-GARCH,0.025,-0.2539123905512595,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-11,GJR-GARCH,0.025,0.4439264940071205,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-12,GJR-GARCH,0.025,0.27383074945380476,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-15,GJR-GARCH,0.025,-2.319499950528158,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-16,GJR-GARCH,0.025,-1.3655811319777544,2.6231815138161916,-3.2370069691540047,-4.2530781417400645
2009-06-17,GJR-GARCH,0.025,-0.09825464701284027,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-18,GJR-GARCH,0.025,0.7291735560570102,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-19,GJR-GARCH,0.025,-0.19537649011938807,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-22,GJR-GARCH,0.025,-3.044579015397382,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-23,GJR-GARCH,0.025,0.0783739567638226,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-24,GJR-GARCH,0.025,0.8580921513096341,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-25,GJR-GARCH,0.025,2.151563825811823,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-26,GJR-GARCH,0.025,-0.2609891602732419,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-29,GJR-GARCH,0.025,0.9320546954641561,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-06-30,GJR-GARCH,0.025,-0.8123521790001337,2.000947700012054,-2.8267096214044094,-3.68029358130263
2009-07-01,GJR-GARCH,0.025,0.4124217755158071,2.000947700012054,-2.8267096214044094,-3.68029358130263
